CODIGO CERRADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
String:,0,4,4,7,1,1,2,3,4,5,6,7,8,2,0,1,2,1,0,0,1,4,9,0,8,0,1,6,0,1,5,1,0,1,5,1,8,0,1,6,1,4,8,0,1,2,3,4,5,6,7,8,9,0,,
Paso 1:,1,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,,
Paso 2:,0,12,20,49,9,3,10,21,36,15,30,49,72,6,0,7,18,3,0,0,9,12,45,0,72,0,5,42,0,3,25,7,0,3,25,7,72,0,5,42,9,12,40,0,9,6,15,28,45,18,35,56,81,0,,
Paso 3:,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 4:,1088, /,2, =,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 5:,Resto,,544, /,10, =,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 6:,0,4,4,7,1,1,2,3,4,5,6,7,8,2,0,1,2,1,0,0,1,4,9,0,8,0,1,6,0,1,5,1,0,1,5,1,8,0,1,6,1,4,8,0,1,2,3,4,5,6,7,8,9,0,4,
Paso 1´:,1,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,
Paso 2´:,0,12,20,49,9,3,10,21,36,15,30,49,72,6,0,7,18,3,0,0,9,12,45,0,72,0,5,42,0,3,25,7,0,3,25,7,72,0,5,42,9,12,40,0,9,6,15,28,45,18,35,56,81,0,20,
Paso 3´:,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 4´:,1108, /,2, =,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 5´:,Resto,,554, /,10, =,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
String final:,0,4,4,7,1,1,2,3,4,5,6,7,8,2,0,1,2,1,0,0,1,4,9,0,8,0,1,6,0,1,5,1,0,1,5,1,8,0,1,6,1,4,8,0,1,2,3,4,5,6,7,8,9,0,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGO ABIERTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
String:,0,4,4,7,1,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,0,,
Paso 1:,1,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,,
Paso 2:,0,12,20,49,9,3,10,21,36,15,30,49,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,28,45,18,35,56,81,0,,
Paso 3:,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 4:,619, /,2, =,309.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 5:,Resto,,309, /,10, =,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 6:,0,4,4,7,1,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,0,9,
Paso 1´:,1,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,3,5,
Paso 2´:,0,12,20,49,9,3,10,21,36,15,30,49,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,28,45,18,35,56,81,0,45,
Paso 3´:,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 4´:,664, /,2, =,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paso 5´:,Resto,,332, /,10, =,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
String final:,0,4,4,7,1,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,0,9,2
